product,source_type,year,month,month_label,total_records,usable_records,min_required_usable_records,usable_daytime_records,usable_midday_afternoon_records,mean_coverage_percent,min_coverage_percent,median_coverage_percent,tiny_footprint_records,status,total_morning,total_midday_afternoon,total_evening,total_night,total_unknown,usable_morning,usable_midday_afternoon,usable_evening,usable_night,usable_unknown
wue,statistics_csv,2022,2,February,9,0,2,0,0,5.666066666666667,0.0056,0.4495,0,no_usable_records,2,5,2,0,0,0,0,0,0,0
wue,statistics_csv,2022,3,March,2,0,2,0,0,14.44685,7.599200000000001,14.44685,0,no_usable_records,0,0,2,0,0,0,0,0,0,0
wue,statistics_csv,2022,4,April,21,0,2,0,0,25.70620476190476,0.1292,33.4476,0,no_usable_records,6,12,3,0,0,0,0,0,0,0
wue,statistics_csv,2022,5,May,5,0,2,0,0,29.3106,11.0546,35.4506,0,no_usable_records,1,0,4,0,0,0,0,0,0,0
wue,statistics_csv,2022,6,June,22,10,2,8,3,59.016209090909086,0.0562,64.62665,0,usable,7,9,6,0,0,5,3,2,0,0
wue,,2023,1,January,0,0,2,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
wue,statistics_csv,2023,2,February,13,0,2,0,0,10.460330769230769,0.0056,1.2024,0,no_usable_records,5,7,1,0,0,0,0,0,0,0
wue,statistics_csv,2023,3,March,6,0,2,0,0,19.319100000000002,0.0056,17.393800000000002,0,no_usable_records,1,1,4,0,0,0,0,0,0,0
wue,statistics_csv,2023,4,April,23,0,2,0,0,20.839295652173913,0.12639999999999998,12.861,0,no_usable_records,7,13,3,0,0,0,0,0,0,0
wue,statistics_csv,2023,5,May,3,0,2,0,0,30.07546666666667,9.759500000000001,15.8332,0,no_usable_records,2,0,1,0,0,0,0,0,0,0
wue,statistics_csv,2023,6,June,22,9,2,9,2,52.62925,0.0393,55.007600000000004,0,usable,10,10,2,0,0,7,2,0,0,0
wue,,2024,1,January,0,0,2,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
wue,statistics_csv,2024,2,February,2,0,2,0,0,6.714199999999999,0.22190000000000001,6.714199999999999,0,no_usable_records,0,2,0,0,0,0,0,0,0,0
wue,,2024,3,March,0,0,2,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
wue,,2024,4,April,0,0,2,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
wue,,2024,5,May,0,0,2,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
wue,statistics_csv,2024,6,June,2,0,2,0,0,28.331799999999998,7.076599999999999,28.331799999999998,0,no_usable_records,0,2,0,0,0,0,0,0,0,0
wue,statistics_csv,2025,1,January,1,0,2,0,0,0.8175,0.8175,0.8175,0,no_usable_records,0,0,1,0,0,0,0,0,0,0
wue,statistics_csv,2025,2,February,8,0,2,0,0,1.5001874999999998,0.0028,0.8989999999999999,0,no_usable_records,3,5,0,0,0,0,0,0,0,0
wue,statistics_csv,2025,3,March,1,0,2,0,0,28.5762,28.5762,28.5762,0,no_usable_records,0,1,0,0,0,0,0,0,0,0
wue,statistics_csv,2025,4,April,8,0,2,0,0,35.202325,2.4666,39.253,0,no_usable_records,5,2,1,0,0,0,0,0,0,0
wue,statistics_csv,2025,5,May,3,2,2,2,2,48.270399999999995,0.0112,71.9969,0,usable,0,2,1,0,0,0,2,0,0,0
wue,statistics_csv,2025,6,June,6,4,2,4,1,73.65808333333334,27.3963,85.49275,0,usable,4,2,0,0,0,3,1,0,0,0
